text,satisfaction,job_level,date,platform,source
"Amazon discriminates against women and they play favorites with the men. Shifts are given to male friends and family. The managers are mostly men under 25 and if you bring something to their attention, they blame you for a bad attitude. Lots of eye rolling, tone and attitude from the managers who obviously have no professional training. I was called ""Grandma"" three times, ""Old lady"" twice and ""stupid b!tch"" once! Their employee standards are so low that they will hire you even if you can't read or speak english.  One of the worst jobs I have ever had. There is absolutely no commitment to the  employees at all. No respect is given especially if you are a woman. I wouldn't recommend working at Amazon to anyone over 20 who is serious about working and the trajectory of their future. Run away, save yourself! Get a job slapping burgers if you want a steady job that will give you a sense of accomplishment and pride.  Amazon is a predatory monster. Take your life back!",Very unsatisfied,Mid-Level,2020-08-07T01:51:51.923906-04:00,inhersight,amazon
Women with kids are screwed out of calling in if their child has to go to the hospital. Points against them for this.,Neither satisfied nor unsatisfied,Early Career,2020-07-15T22:45:19.190745-04:00,inhersight,amazon
"I worked for Amazon for just over three years. I had been harassed by nearly a dozen men over the course of those three years. I had been cat called, men asked me for leud photos, made sexualized comments about my body, and refused to take no as an appropriate answer. When I finally felt confident enough that someone would finally listen to my experiences and take them seriously I reported the behavior to human resources. I was told that my behavior was unprofessional and I needed to reevaluate my own behavior. I never once initiated or facilitated any of the conversations or interactions with the men that harassed me yet somehow their behavior was my fault according the the head of our human resources department. One of the men specifically that sexually harassed me for nearly eight months, before and after I reported the incident to HR, was promoted to a leadership position.",Very unsatisfied,Early Career,2020-07-05T13:09:40.211927-04:00,inhersight,amazon
Frustrating — get in trouble for not having childcare during a pandemic!! I’m not putting my baby in daycare during a pandemic.,Unsatisfied,Early Career,2020-07-02T13:21:19.612811-04:00,inhersight,amazon
"Sexual harassment
Nobody cares to learn your name
People are treated like meat",Very unsatisfied,Early Career,2020-06-18T17:10:37.111216-04:00,inhersight,amazon
There are no female senior leaders. There are no female operational managers. There are only 3 female area managers out of 36.,Very unsatisfied,Early Career,2020-06-17T08:10:50.631011-04:00,inhersight,amazon
"If you know the right people, opportunities are abundant. If you stay your own course (do not mold yourself to their beliefs), it will be harder to promote. If you are not on top of everything (your hours, your tasks, your time off task) and do not write these things down... you may have to appeal for your job. They promote a lot of the same kinds of people. (The wrong fit for many). They flip managers every few months. Hard workers remain in their job for a long time because of the work being produced, instead of being coached and trained to promote and further themselves.",Unsatisfied,Early Career,2020-06-15T16:05:05.193269-04:00,inhersight,amazon
"I found it difficult to find someone to communicate with at times both on the phone and in-person. Just to talk to someone in HR, you have to go through a ridiculous 10-ish minute automated voice call before you can actually talk to a real human. Overall, my time at Amazon was very unsatisfactory.",Very unsatisfied,Early Career,2020-06-15T14:33:31.293321-04:00,inhersight,amazon
"Extremely defeating to work in this environment. A constant struggle between trying to be the best you can be  while having to fight sexist comments/retaliation tactics etc. Surrounded by male coworkers and superiors who talk over you, exclude your expertise and/or make jokes during meetings and in private. I ended up leaving when I was cursed out privately by an ex-manager for challenging his process. I was asked how I “‘really’ got the job” when I announced my resignation by male counterparts the next week. Completely toxic atmosphere. It’s sad when all the female employees call management the “D” club, because if you’re not in it - you are irrelevant.",Very unsatisfied,Early Career,2020-04-15T15:58:28.542514-04:00,inhersight,amazon
It's the best job I've had outside of the military so far.,Very satisfied,Early Career,2020-04-03T16:13:14.453792-04:00,inhersight,amazon
I only work there as a seasonal worker but at the end of the season they laid me off... in a voicemail...,Satisfied,Early Career,2020-02-28T12:14:43.776116-05:00,inhersight,amazon
"Not a great place if you are someone who gets sick, ever! The attendance policy is very harsh and there are no sick days! the result is employees going to work while ill or injured, pushing themselves to keep up with rate when they should be resting.",Satisfied,Early Career,2020-02-27T11:46:01.568280-05:00,inhersight,amazon
I like this job it’s great overnight and extra cash. They have so many opportunities for growth although they are hard to contact about any open positions online,Satisfied,Early Career,2020-02-13T18:43:51.363864-05:00,inhersight,amazon
"I got hurt while working after receiving no help from my coworkers or upper management and after I reported it, I was told I would hear from HR within a few days. I heard nothing so I called, only to be told that they never received a report so I had to create a whole new one. Luckily I asked for a copy of the original.",Very unsatisfied,,2020-02-08T01:40:04.372075-05:00,inhersight,amazon
"If you just want a salary and no true career growth, this is the place for you. If you're not a man or part of nepotism, good luck.",Unsatisfied,,2020-02-01T12:16:40.312746-05:00,inhersight,amazon
"The best quote I’ve heard about amazon leadership and overall environment is “pale, male, and stale” it is not a progressive workplace. It is by far easier to make your way up the company ladder as a male, who are often given more opportunities to lead projects and teams than women.",Unsatisfied,Mid-Level,2020-01-25T22:22:32.348302-05:00,inhersight,amazon
